Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2017-01-02,RELIANCE,EQ,1082.4,1084.0,1090.0,1072.35,1086.7,1085.1,1086.63,1622458
2017-01-03,RELIANCE,EQ,1085.1,1089.85,1097.0,1081.1,1089.0,1089.4,1091.74,1470751
2017-01-04,RELIANCE,EQ,1089.4,1092.9,1093.0,1064.3,1067.15,1067.15,1072.39,2375547
2017-01-05,RELIANCE,EQ,1067.15,1071.0,1079.9,1068.75,1077.0,1077.4,1077.12,1996483
2017-01-06,RELIANCE,EQ,1077.4,1074.2,1085.0,1073.1,1073.95,1074.95,1078.77,1793427
2017-01-09,RELIANCE,EQ,1074.95,1077.0,1086.0,1071.0,1078.0,1077.7,1079.41,1195257
2017-01-10,RELIANCE,EQ,1077.7,1080.0,1094.4,1080.0,1088.0,1089.85,1089.83,2594400
2017-01-11,RELIANCE,EQ,1089.85,1095.0,1095.7,1084.0,1084.8,1086.05,1087.58,2623211
2017-01-12,RELIANCE,EQ,1086.05,1087.0,1090.35,1079.8,1080.45,1083.3,1084.63,999364
2017-01-13,RELIANCE,EQ,1083.3,1084.55,1097.5,1084.55,1089.95,1090.4,1091.91,1653669
2017-01-16,RELIANCE,EQ,1090.4,1089.95,1093.95,1073.95,1076.7,1076.25,1078.39,2746005
2017-01-17,RELIANCE,EQ,1076.25,1065.0,1068.0,1038.5,1040.0,1041.25,1049.23,8968290
2017-01-18,RELIANCE,EQ,1041.25,1042.6,1048.0,1028.75,1031.95,1032.55,1036.48,3627071
2017-01-19,RELIANCE,EQ,1032.55,1035.15,1045.3,1031.0,1032.45,1033.7,1037.12,3493728
2017-01-20,RELIANCE,EQ,1033.7,1033.95,1037.45,1023.9,1025.7,1025.8,1029.42,2008082
2017-01-23,RELIANCE,EQ,1025.8,1021.8,1031.0,1012.8,1018.4,1015.9,1019.37,3133533
2017-01-24,RELIANCE,EQ,1015.9,1017.0,1028.8,1017.0,1027.9,1027.3,1024.12,2153091
2017-01-25,RELIANCE,EQ,1027.3,1032.0,1032.7,1016.15,1018.05,1017.3,1020.11,5453230
2017-01-27,RELIANCE,EQ,1017.3,1020.25,1028.9,1019.0,1028.15,1025.1,1024.42,4997239
2017-01-30,RELIANCE,EQ,1025.1,1024.95,1046.45,1024.8,1044.95,1044.8,1038.36,3583756
2017-01-31,RELIANCE,EQ,1044.8,1046.85,1053.8,1040.3,1045.0,1045.2,1046.18,3457365
2017-02-01,RELIANCE,EQ,1045.2,1046.1,1050.9,1035.2,1050.0,1049.65,1044.86,2585798
2017-02-02,RELIANCE,EQ,1049.65,1050.0,1050.8,1038.25,1045.55,1043.5,1042.22,2079908
2017-02-03,RELIANCE,EQ,1043.5,1046.0,1050.45,1030.1,1033.45,1033.65,1038.23,3021751
2017-02-06,RELIANCE,EQ,1033.65,1037.0,1044.9,1032.05,1040.7,1041.65,1038.21,2283982
2017-02-07,RELIANCE,EQ,1041.65,1042.0,1042.35,1027.2,1031.95,1030.9,1031.93,2264245
2017-02-08,RELIANCE,EQ,1030.9,1030.9,1038.25,1022.0,1022.7,1025.15,1027.7,3710094
2017-02-09,RELIANCE,EQ,1025.15,1028.0,1034.0,1026.8,1032.45,1032.75,1030.58,2254216
2017-02-10,RELIANCE,EQ,1032.75,1035.0,1035.55,1025.55,1030.0,1030.15,1030.89,2861531
2017-02-13,RELIANCE,EQ,1030.15,1033.0,1034.0,1022.0,1030.0,1029.85,1026.56,1957988
2017-02-14,RELIANCE,EQ,1029.85,1035.0,1052.9,1029.9,1048.1,1049.8,1047.4,4170414
2017-02-15,RELIANCE,EQ,1049.8,1052.9,1057.5,1045.25,1050.35,1051.3,1052.94,3482845
2017-02-16,RELIANCE,EQ,1051.3,1052.55,1069.45,1052.55,1065.95,1067.5,1062.56,4492847
2017-02-17,RELIANCE,EQ,1067.5,1066.5,1078.2,1058.45,1070.7,1075.5,1070.57,3393856
2017-02-20,RELIANCE,EQ,1075.5,1070.55,1078.85,1066.5,1075.0,1075.4,1074.6,2663127
2017-02-21,RELIANCE,EQ,1075.4,1075.2,1090.95,1073.05,1088.1,1088.2,1084.82,3242790
2017-02-22,RELIANCE,EQ,1088.2,1093.0,1211.65,1092.0,1209.8,1207.5,1177.82,29103926
2017-02-23,RELIANCE,EQ,1207.5,1213.6,1222.0,1179.35,1186.8,1182.75,1196.34,14229234
2017-02-27,RELIANCE,EQ,1182.75,1190.5,1256.8,1190.35,1237.55,1238.9,1241.99,19068911
2017-02-28,RELIANCE,EQ,1238.9,1232.0,1248.0,1228.5,1237.65,1238.05,1240.68,8254531
2017-03-01,RELIANCE,EQ,1238.05,1240.1,1244.4,1230.0,1231.55,1234.5,1238.28,5574153
2017-03-02,RELIANCE,EQ,1234.5,1237.9,1254.7,1227.05,1234.95,1236.75,1241.01,4129033
2017-03-03,RELIANCE,EQ,1236.75,1241.55,1287.8,1241.55,1258.6,1258.55,1269.09,19270851
2017-03-06,RELIANCE,EQ,1258.55,1269.0,1312.0,1265.25,1308.0,1305.35,1298.39,15252154
2017-03-07,RELIANCE,EQ,1305.35,1318.85,1327.0,1296.15,1306.35,1304.95,1309.21,9616850
2017-03-08,RELIANCE,EQ,1304.95,1307.7,1307.7,1286.1,1288.15,1291.2,1294.73,9906103
2017-03-09,RELIANCE,EQ,1291.2,1290.0,1298.0,1281.5,1285.4,1286.75,1287.46,7107670
2017-03-10,RELIANCE,EQ,1286.75,1290.25,1296.0,1261.2,1279.1,1281.65,1282.25,5665568
2017-03-14,RELIANCE,EQ,1281.65,1318.75,1319.0,1285.25,1288.25,1289.5,1299.08,6346620
2017-03-15,RELIANCE,EQ,1289.5,1291.05,1316.3,1290.4,1302.0,1304.95,1306.9,5510658
2017-03-16,RELIANCE,EQ,1304.95,1310.0,1310.4,1293.6,1296.8,1297.65,1300.24,3639964
2017-03-17,RELIANCE,EQ,1297.65,1308.0,1319.95,1298.05,1300.55,1300.7,1302.8,5195076
2017-03-20,RELIANCE,EQ,1300.7,1306.0,1306.25,1278.35,1280.95,1280.8,1287.84,2941714
2017-03-21,RELIANCE,EQ,1280.8,1282.2,1283.9,1259.3,1265.2,1263.8,1270.21,5165107
2017-03-22,RELIANCE,EQ,1263.8,1252.0,1265.9,1246.55,1260.45,1259.7,1257.09,4638338
2017-03-23,RELIANCE,EQ,1259.7,1263.15,1277.55,1258.0,1272.0,1273.3,1269.4,2699090
2017-03-24,RELIANCE,EQ,1273.3,1274.1,1292.0,1268.45,1284.0,1286.75,1282.43,3721911
2017-03-27,RELIANCE,EQ,1286.75,1271.1,1278.75,1247.2,1248.5,1251.1,1258.23,7418122
2017-03-28,RELIANCE,EQ,1251.1,1258.0,1264.0,1242.1,1246.3,1245.75,1249.71,4961934
