date,symbol,series,prev close,open,high,low,last,close,vwap,volume,text_doc_index,text_sent_index,text_neg,text_neu,text_pos,text_compound,twitter_text_doc_index,twitter_text_sent_index,twitter_text_neg,twitter_text_neu,twitter_text_pos,twitter_text_compound,close_14_ema_x,close_14_ema_y,Text_Dominant_Topic,Text_Perc_Contribution,TWT_Dominant_Topic,TWT_Perc_Contribution
02/01/17,SBIN,EQ,250.2,252.5,253.65,242.6,243.55,243.6,244.8,25988990,0,0,0,0,0,0,0,6,0.121,3.327,0.552,1.3998,243.6,243.6,0,0,2,0.5782
03/01/17,SBIN,EQ,243.6,244,246.4,241.1,244.9,244.9,244.54,15963085,0,0,0,0,0,0,1,1,0,1.578,0.422,1.2445,244.2964286,244.2964286,0,0,2,0.5037
04/01/17,SBIN,EQ,244.9,245.8,246.4,242.2,243.2,242.9,243.96,11225978,0,0,0,1,0,0,0,0,0,0,0,0,243.7629881,243.7629881,4,0.4916,0,0
05/01/17,SBIN,EQ,242.9,245,245.9,243.7,245.5,245.35,244.94,11970913,1,0,0.072,0.928,0,-0.2732,0,0,0,0,0,0,244.2484998,244.2484998,4,0.9564,0,0
06/01/17,SBIN,EQ,245.35,246,249,245.5,246.05,245.9,247.1,12354302,2,0,0,1,0,0,2,0,0,0.864,0.136,0.7269,244.6793737,244.6793737,4,0.9375,2,0.4471
09/01/17,SBIN,EQ,245.9,246.4,248.35,246,246.7,247.05,247.09,8329253,0,0,0,0,0,0,0,0,0,0,0,0,245.2278944,245.2278944,0,0,0,0
10/01/17,SBIN,EQ,247.05,247.7,249,246.4,248.9,248.3,247.64,9352013,3,0,0.084,0.797,0.12,0.2263,3,0,0,0.838,0.162,0.4019,245.8752521,245.8752521,4,0.9471,4,0.8533
11/01/17,SBIN,EQ,248.3,249.65,253.2,249,251.7,252.15,251.31,13415303,0,0,0,0,0,0,0,0,0,0,0,0,247.1025004,247.1025004,0,0,0,0
12/01/17,SBIN,EQ,252.15,252.9,254.45,250.55,251.15,251.25,252.31,11282323,4,1,0,2,0,0,4,0,0,1,0,0,247.8661515,247.8661515,4,0.8794,6,0.7574
13/01/17,SBIN,EQ,251.25,252,252.6,249.1,251,250.9,250.86,9333736,0,0,0,0,0,0,5,0,0,0.847,0.153,0.4019,248.3977535,248.3977535,0,0,4,0.5184
